649 338
13 100 17
100 101 5
100 102 5
102 103 9
102 104 3
102 107 4
104 105 5
104 109 4
105 106 5
105 110 3
107 108 5
107 109 2
107 112 11
109 110 2
109 115 11
110 111 3
112 113 5
112 114 5
112 115 2
112 118 9
115 116 6
115 117 7
115 120 9
118 119 6
118 120 2
118 121 11
120 124 11
121 122 5
121 123 5
121 124 2
121 128 12
124 125 7
124 126 6
124 140 11
124 132 3
128 129 4
128 130 6
128 140 2
140 131 7
132 133 3
132 134 4
132 135 8
135 136 4
135 137 3
135 200 12
138 200 8
139 200 7
200 201 2
200 202 3
200 300 5
202 203 4
202 204 2
204 205 3
204 251 3
251 206 6
251 207 5
207 208 7
207 209 4
209 210 6
209 211 6
211 212 6
211 14 1
211 213 8
213 214 8
213 215 3
213 216 6
216 217 3
216 218 5
218 15 1
218 219 2
218 220 3
220 221 6
220 222 3
222 223 4
222 19 2
222 232 8
222 246 4
223 224 5
223 225 10
225 226 3
225 227 3
227 228 3
227 229 30
229 230 7
229 231 19
232 233 2
232 234 3
234 235 4
234 236 4
236 237 4
236 238 8
238 239 5
238 16 11
238 240 15
16 240 5
240 241 6
240 242 5
240 243 6
243 244 7
243 245 5
246 247 7
246 17 7
246 248 19
17 248 10
248 253 11
249 248 10
249 250 5
249 252 27
252 30 9
253 254 5
253 18 9
253 255 16
18 255 5
255 256 6
255 257 5
257 258 8
257 260 18
260 261 2
260 259 9
300 301 8
300 302 4
300 318 3
302 303 3
302 323 5
302 304 4
302 305 5
305 306 3
305 308 7
306 307 5
306 310 7
307 311 7
307 317 4
307 43 2
307 321 8
308 309 6
308 312 9
308 310 3
310 311 5
310 314 9
311 24 1
311 315 9
312 313 6
312 314 3
314 315 5
315 316 6
315 25 4
316 25 4
318 319 6
318 320 11
318 321 10
318 20 6
321 322 10
321 20 2
321 400 21
400 21 2
400 401 4
400 402 2
400 404 7
400 405 5
400 437 3
404 405 2
404 417 5
404 418 14
404 438 5
405 403 5
405 406 7
405 448 2
448 407 5
448 408 4
408 409 5
408 410 4
410 411 4
410 22 2
410 412 11
23 416 12
412 414 3
414 415 8
414 23 5
414 416 18
418 419 7
418 420 2
418 421 3
421 422 16
421 423 4
421 424 4
424 425 4
424 447 5
447 426 3
447 427 1
447 428 1
447 429 3
447 431 4
431 430 3
431 432 4
431 446 16
437 439 6
437 443 6
437 441 4
439 438 4
439 443 3
438 433 2
438 434 2
438 435 4
438 436 5
438 446 5
443 444 2
443 445 4
445 446 5
445 501 5
445 504 5
446 500 5
446 501 2
500 501 4
500 502 5
500 505 3
500 506 6
502 501 2
502 503 2
502 505 3
502 507 6
503 504 2
503 508 6
504 26 2
504 509 6
506 505 5
506 507 5
506 510 5
506 511 4
506 512 7
507 505 5
507 510 6
507 508 2
508 509 2
509 34 5
509 35 6
509 27 10
510 37 4
510 511 3
510 512 6
510 513 11
510 541 3
512 511 3
512 513 5
512 515 7
513 37 7
513 514 4
513 520 3
515 516 2
515 541 4
541 517 1
541 519 4
519 518 2
519 520 6
519 521 3
520 523 5
521 522 3
521 523 8
523 524 4
524 525 4
524 526 6
524 527 2
524 532 8
527 528 2
527 529 3
527 530 5
530 38 4
530 28 2
530 531 4
531 510 16
531 539 12
531 541 14
532 533 5
532 534 5
532 535 8
535 536 7
535 537 5
535 600 8
538 601 3
538 539 10
539 36 4
539 540 9
540 36 5
540 542 6
540 29 5
540 543 9
543 29 6
543 30 19
543 252 20
600 601 6
600 40 2
600 42 5
600 605 5
601 603 15
605 604 6
605 648 7
605 606 10
606 607 8
606 608 22
608 609 8
608 610 4
610 611 6
610 612 3
610 613 14
613 614 9
613 621 15
614 615 13
614 616 19
616 617 5
616 618 27
618 619 5
618 620 5
621 622 6
621 623 6
623 624 2
623 625 8
625 626 2
625 627 8
627 628 3
627 629 29
629 647 5
630 432 6
630 631 1
630 632 15
632 633 1
632 634 4
634 635 5
634 636 4
636 637 6
636 638 6
638 639 2
638 640 9
640 641 2
640 642 8
642 647 5
643 515 30
643 644 8
643 645 3
645 646 8
645 647 22
