225 252
0 1 15
1 2 7
1 3 4
3 5 3
3 8 3
5 6 6
5 10 4
6 7 4
6 10 6
6 11 5
8 9 4
8 10 2
8 12 12
10 11 5
10 15 12
12 13 5
12 14 4
12 15 2
12 18 8
15 16 4
15 17 4
15 20 8
18 19 4
18 20 2
18 21 11
20 24 11
21 22 5
21 23 4
21 24 2
21 27 12
24 25 6
24 26 6
24 30 12
24 32 3
27 28 6
27 29 6
27 30 2
30 31 7
32 33 3
32 34 3
32 35 10
35 36 3
35 37 3
35 38 10
38 39 5
38 40 5
38 41 5
38 42 5
38 93 2
42 43 4
42 44 3
44 45 5
44 46 6
46 47 6
46 48 4
48 49 6
48 50 7
50 51 6
50 52 8
52 53 7
52 54 2
52 55 6
52 56 10
52 58 15
58 59 4
58 60 3
60 61 7
60 62 14
60 69 7
60 70 11
60 57 9
60 82 22
62 63 2
62 64 2
64 65 2
64 66 28
66 67 7
66 68 15
70 71 4
70 72 2
72 73 3
72 74 7
74 75 5
74 76 19
76 77 6
76 78 8
76 79 6
79 80 7
79 81 5
82 83 10
82 86 11
83 84 4
83 85 27
86 87 5
86 88 13
88 89 5
88 90 6
90 91 7
90 92 29
93 94 1
93 97 3
94 95 9
94 96 3
94 111 4
96 97 3
96 98 4
97 101 9
98 99 2
99 100 5
99 103 6
100 104 6
100 114 10
101 102 2
101 105 9
102 103 2
102 106 9
103 104 6
103 107 9
104 108 9
105 106 2
106 107 2
107 108 6
108 109 6
108 110 8
111 112 9
111 113 11
111 114 8
114 115 8
114 116 20
116 117 5
116 130 6
116 146 10
116 147 10
117 118 3
117 119 3
117 129 9
117 130 4
119 120 3
119 121 5
119 122 7
122 123 3
122 124 10
124 125 4
124 126 3
126 127 8
126 128 19
130 131 13
130 142 3
131 132 7
131 133 4
133 134 17
133 135 3
135 136 4
135 137 4
137 138 2
138 139 2
139 140 2
140 141 4
140 145 10
140 204 10
142 143 2
143 144 2
144 145 3
145 147 4
145 151 2
146 147 4
146 149 7
147 150 6
148 149 2
149 150 5
149 154 5
150 151 8
150 152 8
151 152 5
152 155 3
153 154 3
154 155 7
154 156 12
155 157 2
157 158 2
157 159 10
157 162 13
158 159 5
159 160 4
159 161 3
161 163 6
161 166 4
162 163 7
162 213 28
163 164 4
164 165 4
164 166 7
166 167 4
167 168 4
167 169 5
167 171 3
167 172 5
167 174 8
174 170 4
174 173 4
174 175 8
175 176 6
175 178 4
175 179 10
179 180 8
179 181 22
179 182 9
179 183 12
183 184 6
183 185 22
185 186 6
185 187 5
187 188 7
187 189 13
189 197 13
189 190 10
190 191 13
190 192 18
192 193 5
192 194 26
194 195 4
194 196 4
197 198 7
197 199 7
197 200 14
197 201 22
201 202 4
201 203 30
204 205 15
204 206 19
206 207 5
206 208 3
208 209 6
208 210 6
208 211 16
211 212 3
213 214 3
213 215 7
214 216 7
217 76 8
217 74 5
218 60 14
218 82 7
219 52 3
219 58 10
220 114 15
220 116 4
221 122 3
221 125 3
222 179 13
223 183 1
224 183 1
